App,Rating,Reviews,Installs,Price,Last Updated,review_rating
Coloring book moana,6,967,500000,0,2936.0,0.2727272727272727
Garden Coloring Book,7,13791,1000000,0,2819.75,0.6
FlipaClip - Cartoon animation,7,194216,5000000,0,3137.5,1.0
Boys Photo Editor - Six Pack & Men's Suit,7,654,100000,0,3002.0,0.47368421052631576
Colorfit - Drawing & Coloring,8,20260,500000,0,2841.25,0.5526315789473685
Animated Photo Editor,7,203,100000,0,3003.0,0.4857142857142857
Anime Manga Coloring Book,7,5035,100000,0,3123.0,0.6666666666666666
Easy Origami Ideas,7,1015,100000,0,2927.0,0.17647058823529413
Floor Plan Creator,7,36639,5000000,0,3118.0,0.6216216216216216
"Canva: Poster, banner, card maker & graphic design",8,174531,10000000,0,3135.0,0.7105263157894737
CDL Practice Test 2018 Edition,8,7774,100000,0,3107.0,0.8333333333333334
Free VIN Report for Used Cars,8,2431,100000,0,3085.5,0.6571428571428571
DMV Permit Practice Test 2018 Edition,8,6090,100000,0,3107.0,0.8235294117647058
"Android Auto - Maps, Media, Messaging & Voice",7,271920,10000000,0,3115.0,0.9354838709677419
Best Car Wallpapers,7,994,100000,0,3009.0,0.0
BEST CAR SOUNDS,7,348,100000,0,3133.0,0.5945945945945946
Fuelio: Gas log & costs,8,65786,1000000,0,3136.5,0.7954545454545454
"BestCam Selfie-selfie, beauty camera, photo editor",6,1739,500000,0,3116.0,-0.04040404040404041
Hairstyles step by step,8,4369,100000,0,3129.0,0.7777777777777778
Filters for Selfie,7,8572,1000000,0,3053.0,0.23809523809523808
Beauty Camera - Selfie Camera,6,113715,10000000,0,2772.25,0.4166666666666667
Filters for B Live,7,2280,500000,0,3057.0,0.3
Dresses Ideas & Fashions +3000,7,473,100000,0,2617.75,0.7586206896551724
Amazon Kindle,7,814080,100000000,0,3131.0,0.27350427350427353
Cool Reader,7,246315,10000000,0,2025.25,0.34210526315789475
Dictionary - Merriam-Webster,7,454060,10000000,0,3061.0,0.5
Free Panda Radio Music,7,418,100000,0,3009.0,0.5
FBReader: Favorite Book Reader,7,203130,10000000,0,3101.5,0.5641025641025641
AlReader -any text book reader,8,90468,5000000,0,3070.0,0.46153846153846156
FamilySearch Tree,7,17506,1000000,0,3124.0,0.5666666666666667
Ebook Reader,7,85842,5000000,0,3098.5,0.717948717948718
All Maths Formulas,7,2709,1000000,0,3115.0,0.7575757575757576
Ancestry,7,64513,5000000,0,3135.0,0.6486486486486487
HTC Help,7,8342,10000000,0,2797.25,0.175
English-Myanmar Dictionary,7,8788,1000000,0,3132.0,0.7631578947368421
Golden Dictionary (EN-AR),7,51269,1000000,0,3123.0,0.5945945945945946
All Language Translator Free,7,30105,1000000,0,3133.0,0.8
Azpen eReader,5,156,500000,0,2966.5,0.4782608695652174
Google My Business,7,70991,5000000,0,3128.0,0.5128205128205128
Curriculum vitae App CV Builder Free Resume Maker,7,4458,500000,0,3112.0,0.7368421052631579
Google Primer,7,62272,10000000,0,3099.5,1.0
Facebook Pages Manager,6,1279184,50000000,0,3136.5,-0.058823529411764705
Box,7,159872,10000000,0,3135.0,0.5897435897435898
Call Blocker,8,188841,5000000,0,3094.5,-0.3333333333333333
Easy Installer - Apps On SD,7,23055,5000000,0,3081.5,0.0
Facebook Ads Manager,7,19023,1000000,0,3135.5,0.34285714285714286
Genius Scan - PDF Scanner,7,42492,1000000,0,3115.0,0.7692307692307693
Fast Scanner : Free PDF Scan,7,103755,10000000,0,3115.0,0.7702702702702703
Box,7,159872,10000000,0,3135.0,0.5897435897435898
Google Ads,7,29313,5000000,0,3134.0,0.3194444444444444
Google My Business,7,70991,5000000,0,3128.0,0.5128205128205128
FreshBooks Classic,7,1802,100000,0,3030.5,0.2727272727272727
HipChat - Chat Built for Teams,6,5868,500000,0,3107.0,-0.10606060606060606
Crew - Free Messaging and Scheduling,8,4159,500000,0,3124.0,0.85
Asana: organize team projects,7,20815,1000000,0,3130.0,0.6511627906976745
AdWords Express,7,7149,1000000,0,3135.0,0.36
Accounting App - Zoho Books,7,3079,100000,0,3136.5,0.704225352112676
Cisco Webex Meetings,7,108741,10000000,0,3124.0,0.28205128205128205
Cisco Webex Teams,7,1661,100000,0,3136.5,0.1
Box,7,159872,10000000,0,3135.0,0.5897435897435898
Google Ads,7,29313,5000000,0,3134.0,0.3194444444444444
Google My Business,7,70991,5000000,0,3128.0,0.5128205128205128
FreshBooks Classic,7,1802,100000,0,3030.5,0.2727272727272727
HipChat - Chat Built for Teams,6,5868,500000,0,3107.0,-0.10606060606060606
Crew - Free Messaging and Scheduling,8,4159,500000,0,3124.0,0.85
Asana: organize team projects,7,20815,1000000,0,3130.0,0.6511627906976745
AdWords Express,7,7149,1000000,0,3135.0,0.36
Accounting App - Zoho Books,7,3079,100000,0,3136.5,0.704225352112676
Genius Scan - PDF Scanner,7,42492,1000000,0,3115.0,0.7692307692307693
Fast Scanner : Free PDF Scan,7,103755,10000000,0,3115.0,0.7702702702702703
DC Comics,7,25671,1000000,0,3078.5,0.8888888888888888
"Best Wallpapers Backgrounds(100,000+ 4K HD)",8,3596,10000,0,3089.5,0.6
Gmail,7,4604324,1000000000,0,3136.5,0.171875
Hangouts,6,3419249,1000000000,0,3125.0,0.6491228070175439
Firefox Browser fast & private,7,3075028,100000000,0,3114.0,0.45161290322580644
Contacts,7,66602,50000000,0,3099.5,0.07894736842105263
Browser 4G,7,192948,10000000,0,3092.5,0.6470588235294118
Cricket Visual Voicemail,6,13698,10000000,0,3106.0,0.1
Firefox Focus: The privacy browser,7,36880,1000000,0,3110.0,0.78125
Google Voice,7,171031,10000000,0,3137.5,0.5
Chrome Dev,7,63543,5000000,0,3136.5,0.48717948717948717
Android Messages,7,781810,100000000,0,3135.5,0.16279069767441862
Google Duo - High Quality Video Calls,8,2083237,500000000,0,3135.0,0.7222222222222222
AT&T Visual Voicemail,6,13761,10000000,0,3100.5,0.08
GMX Mail,7,258556,10000000,0,3129.0,0.6666666666666666
Hangouts,6,3419433,1000000000,0,3125.0,0.6491228070175439
Calls & Text by Mo+,7,83239,5000000,0,3031.5,0.8333333333333334
Google Voice,7,171031,10000000,0,3137.5,0.5
"GO SMS Pro - Messenger, Free Themes, Emoji",7,2876500,100000000,0,3135.5,0.34615384615384615
Android Messages,7,781810,100000000,0,3135.5,0.16279069767441862
GroupMe,7,330761,10000000,0,3107.0,0.4358974358974359
BBM - Free Calls & Messages,7,12842860,100000000,0,3136.5,0.2857142857142857
Firefox Focus: The privacy browser,7,36893,1000000,0,3110.0,0.78125
2ndLine - Second Phone Number,7,15880,1000000,0,3137.5,0.25
Firefox Browser fast & private,7,3075118,100000000,0,3114.0,0.45161290322580644
"CM Browser - Ad Blocker , Fast Download , Privacy",8,2264916,50000000,0,3135.0,0.0
Contacts+,7,190613,10000000,0,3135.0,0.6842105263157895
ExDialer - Dialer & Contacts,7,125232,10000000,0,2621.75,0.5862068965517241
Calls & Text by Mo+,7,83239,5000000,0,3031.5,0.8333333333333334
Full Screen Caller ID,7,104990,5000000,0,3058.0,0.6451612903225806
Call Blocker,7,17529,1000000,0,3130.0,-0.3333333333333333
"CallApp: Caller ID, Blocker & Phone Call Recorder",7,483565,10000000,0,3133.0,1.0
CIA - Caller ID & Call Blocker,6,60308,5000000,0,3095.5,0.42857142857142855
Calls Blacklist - Call Blocker,7,457283,10000000,0,3067.0,0.3333333333333333
Call Control - Call Blocker,7,93825,5000000,0,3109.0,-0.3333333333333333
Burner - Free Phone Number,7,14873,1000000,0,3116.0,0.6666666666666666
Caller ID +,6,9498,1000000,0,2350.0,1.0
Gmail,7,4604483,1000000000,0,3136.5,0.171875
All Email Providers,7,20901,1000000,0,3015.5,0.2
GO Notifier,7,124346,10000000,0,1649.0,0.38235294117647056
Hangouts,6,3419513,1000000000,0,3125.0,0.6491228070175439
"Hily: Dating, Chat, Match, Meet & Hook up",7,2556,100000,0,3135.5,0.2647058823529412
Hinge: Dating & Relationships,7,7779,500000,0,3137.5,0.5797101449275363
BBW Dating & Plus Size Chat,7,12632,1000000,0,3131.0,0.3783783783783784
CMB Free Dating App,6,48845,1000000,0,3135.5,0.6901408450704225
Free Dating App & Flirt Chat - Match with Singles,7,172460,5000000,0,3138.5,0.45454545454545453
Black People Meet Singles Date,6,10212,1000000,0,3129.0,0.5357142857142857
Free Dating App & Flirt Chat - Cheers,7,667,10000,0,3137.5,0.4375
Free Dating Hook Up Messenger,5,1157,100000,0,2582.75,0.484375
BLK - Swipe. Match. Chat.,7,2067,100000,0,3129.0,0.575
Cougar Dating Life : Date Older Women Sugar Mummy,6,1643,500000,0,3107.0,0.5128205128205128
Free Dating & Flirt Chat - Choice of Love,6,42194,5000000,0,3128.0,-0.02857142857142857
BeWild Free Dating & Chat App,5,1999,100000,0,2589.25,0.6578947368421053
"FastMeet: Chat, Dating, Love",7,22544,1000000,0,3131.0,0.6133333333333333
"Free Dating App - YoCutie - Flirt, Chat & Meet",7,97684,1000000,0,3114.0,0.4576271186440678
Christian Dating For Free App,6,8722,500000,0,3093.5,0.3684210526315789
"Hide App, Private Dating, Safe Chat - PrivacyHider",7,35206,1000000,0,3064.0,-0.05660377358490566
Free Dating App - Meet Local Singles - Flirt Chat,7,825,100000,0,2919.25,-0.05970149253731343
"Chat Rooms, Avatars, Date - Galaxy",7,135418,10000000,0,3111.0,0.40540540540540543
BBWCupid - BBW Dating App,5,241,50000,0,3074.5,0.3076923076923077
ChatVideo Meet new people,7,63986,5000000,0,3074.0,0.4594594594594595
CMB Free Dating App,6,48845,1000000,0,3135.5,0.6901408450704225
"Hily: Dating, Chat, Match, Meet & Hook up",7,2556,100000,0,3135.5,0.2647058823529412
Hinge: Dating & Relationships,7,7779,500000,0,3137.5,0.5797101449275363
BBW Dating & Plus Size Chat,7,12632,1000000,0,3131.0,0.3783783783783784
"Herpes Dating: 1,000K+ Singles",6,738,10000,0,3135.5,0.40625
95Live -SG#1 Live Streaming App,7,4953,1000000,0,3135.5,0.1794871794871795
Cougar Dating Life : Date Older Women Sugar Mummy,6,1645,500000,0,3107.0,0.5128205128205128
2RedBeans,6,337,10000,0,3135.0,0.7435897435897436
"BiggerCity: Chat for gay bears, chubs & chasers",7,923,100000,0,3136.5,0.425
Herpes Positive Singles Dating,7,198,10000,0,3061.0,0.6428571428571429
"Chat Rooms, Avatars, Date - Galaxy",7,135420,10000000,0,3111.0,0.40540540540540543
"FastMeet: Chat, Dating, Love",7,22545,1000000,0,3131.0,0.6133333333333333
Christian Dating For Free App,6,8723,500000,0,3093.5,0.3684210526315789
BBW Dating & Curvy Singles Chat- LargeFriends,7,218,10000,0,3127.0,0.38666666666666666
"Hide App, Private Dating, Safe Chat - PrivacyHider",7,35205,1000000,0,3064.0,-0.05660377358490566
Hitwe - meet people and chat,7,243950,10000000,0,3053.0,-0.5555555555555556
FERZU - Furries Social Network,6,1576,10000,0,2967.5,0.3333333333333333
95Live -SG#1 Live Streaming App,7,4954,1000000,0,3135.5,0.1794871794871795
"Hily: Dating, Chat, Match, Meet & Hook up",7,2560,100000,0,3135.5,0.2647058823529412
Black People Meet Singles Date,6,10212,1000000,0,3129.0,0.5357142857142857
Free Dating & Flirt Chat - Choice of Love,6,42197,5000000,0,3128.0,-0.02857142857142857
BBW Dating & Plus Size Chat,7,12633,1000000,0,3131.0,0.3783783783783784
"2Date Dating App, Love and matching",7,41605,500000,0,3130.0,0.5
BBW Dating & Curvy Singles Chat- LargeFriends,7,218,10000,0,3127.0,0.38666666666666666
Free Dating App - Meet Local Singles - Flirt Chat,7,825,100000,0,2919.25,-0.05970149253731343
Free Live Talk-Video Call,8,158,10000,0,3109.0,-1.0
Free Dating Hook Up Messenger,5,1157,100000,0,2582.75,0.484375
"Free Dating App - YoCutie - Flirt, Chat & Meet",7,97699,1000000,0,3114.0,0.4576271186440678
Duolingo: Learn Languages Free,8,6289924,100000000,0,3135.5,0.6916666666666667
Flippy Campus - Buy & sell on campus at a discount,6,889,500000,0,2991.0,0.7647058823529411
ABC Preschool Free,6,27572,5000000,0,2855.25,0.3055555555555556
English with Lingualeo,8,254519,5000000,0,3124.0,0.375
Brilliant,7,41185,1000000,0,3137.5,0.5714285714285714
C++ Tutorials,7,358,50000,0,1694.5,0.8888888888888888
C++ Programming,7,11904,1000000,0,2060.75,0.3888888888888889
C Programming,7,22251,1000000,0,2005.75,0.8285714285714286
GMAT Question Bank,7,240,10000,0,1945.75,0.5882352941176471
GRE Tutor,6,275,50000,0,1432.25,0.7692307692307693
GRE Flashcards,7,13791,500000,0,3079.5,0.6666666666666666
GMAT Math Flashcards,7,1769,100000,0,3115.0,0.9166666666666666
GRE Prep & Practice by Magoosh,7,3963,100000,0,3079.5,0.75
Duolingo: Learn Languages Free,8,6290507,100000000,0,3135.5,0.6916666666666667
Brilliant,7,41185,1000000,0,3137.5,0.5714285714285714
Duolingo: Learn Languages Free,8,6290507,100000000,0,3135.5,0.6916666666666667
HomeWork,7,16195,1000000,0,2454.5,1.0
Common Core,6,835,100000,0,2546.0,0.0
Homework Planner,6,2525,100000,0,1836.25,0.7837837837837838
Edmodo,7,200058,10000000,0,3124.0,0.7428571428571429
Duolingo: Learn Languages Free,8,6290507,100000000,0,3135.5,0.6916666666666667
Canvas Student,7,42828,1000000,0,3124.0,0.25
EasyBib: Citation Generator,5,1405,100000,0,3011.0,0.13157894736842105
Hotstar,7,4885646,100000000,0,3137.5,0.0
H TV,7,103078,5000000,0,3109.0,0.5641025641025641
DStv Now,6,34923,5000000,0,3131.0,0.20512820512820512
BBC Media Player,5,87384,10000000,0,2448.5,0.041666666666666664
Amazon Prime Video,7,411683,50000000,0,3136.5,1.0
Cinemark Theatres,7,21867,1000000,0,3116.0,0.25
Fandango Movies - Times + Tickets,8,243747,10000000,0,3136.5,0.48484848484848486
Harkins Theatres,7,1511,100000,0,3084.5,0.2727272727272727
AMC Theatres,7,44550,1000000,0,3122.0,0.6666666666666666
Food Network,7,7813,500000,0,3131.0,0.09859154929577464
Cooking Channel,7,1033,100000,0,3131.0,0.6410256410256411
Animal Planet GO,7,2442,100000,0,3128.0,0.5238095238095238
Crunchyroll - Everything Anime,6,310066,10000000,0,2987.0,0.75
Acorn TV: World-class TV from Britain and Beyond,4,493,50000,0,3088.5,0.30434782608695654
HISTORY: Watch TV Show Full Episodes & Specials,7,33387,1000000,0,3120.0,0.639344262295082
FOX NOW - On Demand & Live TV,6,60841,5000000,0,3130.0,0.16363636363636364
A&E - Watch Full Episodes of TV Shows,6,29706,1000000,0,3120.0,0.7105263157894737
BET NOW - Watch Shows,7,14807,1000000,0,3112.0,0.08333333333333333
Comedy Central,6,22378,1000000,0,3112.0,0.375
Crunchyroll - Everything Anime,6,310095,10000000,0,2987.0,0.75
FOX NOW - On Demand & Live TV,6,60841,5000000,0,3130.0,0.16363636363636364
CW Seed,7,16372,500000,0,3122.0,0.5555555555555556
HISTORY: Watch TV Show Full Episodes & Specials,7,33387,1000000,0,3120.0,0.639344262295082
A&E - Watch Full Episodes of TV Shows,6,29706,1000000,0,3120.0,0.7105263157894737
BET NOW - Watch Shows,7,14807,1000000,0,3112.0,0.08333333333333333
HBO GO: Stream with TV Package,6,87723,10000000,0,3123.0,-0.44
FOX,6,197774,10000000,0,3098.5,0.28205128205128205
Crunchyroll - Everything Anime,6,310066,10000000,0,2987.0,0.75
Food Network,7,7813,500000,0,3131.0,0.09859154929577464
FOX NOW - On Demand & Live TV,6,60841,5000000,0,3130.0,0.16363636363636364
HISTORY: Watch TV Show Full Episodes & Specials,7,33387,1000000,0,3120.0,0.639344262295082
A&E - Watch Full Episodes of TV Shows,6,29706,1000000,0,3120.0,0.7105263157894737
Comedy Central,6,22378,1000000,0,3112.0,0.375
BET NOW - Watch Shows,7,14807,1000000,0,3112.0,0.08333333333333333
FOX,6,197774,10000000,0,3098.5,0.28205128205128205
Fandango Movies - Times + Tickets,8,243747,10000000,0,3136.5,0.48484848484848486
Funny Pics,6,9941,1000000,0,2745.75,0.8
Colorfy: Coloring Book for Adults - Free,7,787177,10000000,0,3093.5,0.2706766917293233
All Events in City,6,3782,100000,0,3085.5,0.92
DroidAdmin for Android - Advice,7,811,10000,0,3072.0,0.1282051282051282
Happy Birthday Songs Offline,7,464,100000,0,2895.25,0.7058823529411765
"Gametime - Tickets to Sports, Concerts, Theater",7,8800,1000000,0,3121.0,0.8378378378378378
Goldstar: Live Event Tickets,7,1953,100000,0,3135.5,0.95
Citibanamex Movil,6,52306,5000000,0,3131.0,0.38461538461538464
Bualuang mBanking,6,48445,5000000,0,3120.0,0.0
BBVA Spain,7,36746,5000000,0,3128.0,0.7272727272727273
Ecobank Mobile Banking,6,12073,1000000,0,3068.0,-0.05128205128205128
Banorte Movil,7,111632,1000000,0,3082.5,0.3076923076923077
Credit Karma,8,706301,10000000,0,3135.0,0.6285714285714286
BZWBK24 mobile,7,64959,1000000,0,3091.5,0.43478260869565216
"GCash - Buy Load, Pay Bills, Send Money",6,25508,1000000,0,3135.0,0.06060606060606061
Google Pay,7,347838,100000000,0,3130.0,0.4358974358974359
"Even - organize your money, get paid early",8,12304,100000,0,3136.5,0.5714285714285714
Digit Save Money Automatically,7,8188,100000,0,3135.0,0.6964285714285714
Acorns - Invest Spare Change,7,45957,1000000,0,3135.0,0.2
Google Pay,7,347838,100000000,0,3130.0,0.4358974358974359
Expense IQ Money Manager,7,21570,1000000,0,3092.5,0.8387096774193549
Experian - Free Credit Report,8,23130,1000000,0,3116.0,0.391304347826087
Branch,8,69973,1000000,0,3127.0,0.5
CreditWise from Capital One,8,26587,1000000,0,3123.0,0.5526315789473685
Credit Karma,8,706302,10000000,0,3135.0,0.6285714285714286
Credit Sesame,7,25166,1000000,0,3129.0,0.2894736842105263
Fresh EBT - Food Stamp Balance,7,19870,1000000,0,3128.0,0.4117647058823529
CNBC: Breaking Business News & Live Market Data,7,24647,1000000,0,3117.0,0.4594594594594595
Bloomberg Professional,7,3334,500000,0,3127.0,0.1
E*TRADE Mobile,6,10658,1000000,0,3136.5,0.46875
Fox Business,6,2594,500000,0,2995.0,0.38235294117647056
Digit Save Money Automatically,7,8188,100000,0,3135.0,0.6964285714285714
Acorns - Invest Spare Change,7,45962,1000000,0,3135.0,0.2
Current debit card and app made for teens,7,685,50000,0,3137.5,0.825
Betterment,7,3780,100000,0,3137.5,0.425
Citizens Bank Mobile Banking,7,15192,1000000,0,3066.0,-0.02564102564102564
GoBank,7,5950,500000,0,3074.5,0.07692307692307693
BBVA Compass Banking,7,5905,500000,0,3131.0,0.3448275862068966
BankMobile Vibe App,7,14627,1000000,0,3113.0,0.7391304347826086
ACE Elite,7,2898,100000,0,3052.0,0.5454545454545454
Google Pay,7,347874,100000000,0,3130.0,0.4358974358974359
Associated Credit Union Mobile,8,3290,50000,0,3073.0,0.8285714285714286
Bank of America Mobile Banking,7,341090,10000000,0,3135.0,0.5
Discover Mobile,8,87951,5000000,0,3127.0,-1.0
Amex Mobile,7,24729,1000000,0,3137.5,0.3333333333333333
Chase Mobile,8,1374549,10000000,0,3127.0,0.175
HDFC Bank MobileBanking,7,208463,10000000,0,3130.0,0.45714285714285713
Barclays US for Android,7,6998,1000000,0,3135.5,0.0
Easy Recipes,8,2707,100000,0,3058.0,0.45
Debonairs Pizza,6,3320,500000,0,3138.5,0.16666666666666666
Dunkin' Donuts,7,68103,1000000,0,3093.5,0.7631578947368421
Grubhub: Food Delivery,7,155944,5000000,0,3136.5,0.2631578947368421
Domino's Pizza USA,8,1032935,10000000,0,3124.0,0.5471698113207547
Dairy Queen,6,731,100000,0,3129.0,0.6666666666666666
Healthy Recipes Free,6,1077,100000,0,2848.25,0.7692307692307693
Cookbook Recipes,7,46539,5000000,0,3127.0,0.9459459459459459
Easy Healthy Recipes,7,278,50000,0,3124.0,0.8620689655172413
Allrecipes Dinner Spinner,7,61881,5000000,0,3022.5,0.6842105263157895
Cookpad,7,131569,10000000,0,3137.5,0.5277777777777778
"BigOven Recipes, Meal Planner, Grocery List & More",7,31986,1000000,0,2883.75,0.775
Foursquare City Guide,7,483960,10000000,0,3127.0,0.32142857142857145
Grubhub: Food Delivery,7,155944,5000000,0,3136.5,0.2631578947368421
Domino's Pizza USA,8,1032935,10000000,0,3124.0,0.5471698113207547
Eat24 Food Delivery & Takeout,7,40116,1000000,0,3136.5,0.425
BeyondMenu Food Delivery,8,51517,1000000,0,3135.5,0.868421052631579
EatStreet Food Delivery App,8,7690,100000,0,3107.0,0.8378378378378378
Caviar - Food Delivery,7,3755,100000,0,3124.0,0.4358974358974359
DoorDash - Food Delivery,7,104504,1000000,0,3135.0,0.275
Home Workout - No Equipment,8,428156,10000000,0,3101.5,0.8846153846153846
30 Day Fitness Challenge - Workout at Home,8,471036,10000000,0,3137.5,0.8064516129032258
Home Workout for Men - Bodybuilding,8,12705,1000000,0,3114.0,0.8461538461538461
Fat Burning Workout - Home Weight lose,7,706,100000,0,3128.0,0.3611111111111111
